---- ukapsv01
10:27:02,525 \screen\at\correctionofdailyperformance\startScreen
10:27:08,011 \screen\at\correctionofdailyperformance\startScreen
10:28:39,694 \screen\at\ktg26\extractOvertime
10:28:40,237 \screen\at\correctionofdailyperformance\startScreen
10:29:22,554 \screen\at\ktg26\extractOvertime
10:29:37,448 \screen\at\ktg26\extractOvertime
10:30:27,598 \screen\at\ktg26\extractOvertime
10:30:54,248 \at\request\application\getStartPC


---- ukapsv03
10:20:14,554 \screen\at\ktg26\extractOvertime
10:23:35,545 \at\request\application\holidayshipment\checkBeforeRegister
10:23:39,350 \at\request\application\holidayshipment\save
10:23:40,329 \screen\at\overtimehours\getEmployeesOvertimeData
10:24:18,205 \at\screen\kwr\003\b\getinfor
10:27:14,312 \screen\at\correctionofdailyperformance\startScreen
10:28:57,846 \screen\at\ktg26\extractOvertime


---- ukapsv04
10:20:54,495 \screen\at\ktg26\extractOvertime
10:21:27,678 \screen\at\ktg26\extractOvertime
10:22:49,233 \at\request\application\applist\getapplist
10:23:11,335 \screen\at\ktg26\extractOvertime
10:23:30,111 \at\record\stamp\employment_system\register_stamp_input
10:23:33,012 \screen\at\personalengraving\startCScreen
10:24:40,173 \at\request\application\applist\getapplist
10:24:55,038 \screen\at\ktg26\extractOvertime
10:25:17,530 \screen\at\ktg26\extractOvertime
10:25:31,064 \screen\at\ktg26\extractOvertime
10:26:27,607 \screen\at\ktg26\extractOvertime
10:26:38,195 \screen\at\ktg26\extractOvertime
10:27:09,767 \at\request\application\applist\getapplist
10:28:06,116 \screen\at\ktg26\extractOvertime
10:28:08,204 \at\request\application\applist\getapplist
10:28:09,861 \screen\at\ktg26\extractOvertime
10:29:34,189 \at\request\application\applist\getapplist
10:30:02,200 \screen\at\ktg26\extractOvertime


---- ukapsv05
10:21:06,792 \screen\at\mobile\ccgs08\overtime\toppage
10:21:07,986 \screen\at\mobile\ccgs08\overtime\toppage
10:21:08,618 \screen\at\mobile\ccgs08\ktg029
10:21:38,782 \screen\at\overtimehours\getEmployeesOvertimeData
10:25:29,646 \screen\at\overtimehours\getEmployeesOvertimeData
10:25:38,354 \screen\at\correctionofdailyperformance\startScreen
10:25:39,216 \screen\at\correctionofdailyperformance\getRemainNum
10:25:45,486 \screen\at\correctionofdailyperformance\startScreen
10:25:46,265 \screen\at\correctionofdailyperformance\getRemainNum
10:25:50,866 \screen\at\ktg26\extractOvertime
10:25:55,477 \screen\at\correctionofdailyperformance\startScreen
10:27:13,034 \screen\at\ktg26\extractOvertime
10:27:19,112 \at\request\application\overtime\start
10:27:31,888 \screen\at\ktg26\extractOvertime
10:27:33,834 \screen\at\correctionofdailyperformance\startScreen
10:27:50,783 \screen\ksu\ksu002\getPlansResults
10:28:11,715 \screen\ksu\ksu002\getPlansResults
10:28:22,677 \screen\ksu\ksu002\getPlansResults
10:29:13,263 \screen\at\correctionofdailyperformance\startScreen
10:30:08,564 \screen\ksu\ksu002\getPlansResults


---- ukapsv06
10:21:40,562 \screen\at\ktg26\extractOvertime
10:21:46,141 \screen\at\overtimehours\getEmployeesOvertimeData
10:24:52,804 \screen\at\ktg26\extractOvertime
10:24:55,266 \screen\at\ktg26\extractOvertime
10:25:04,685 \screen\at\correctionofdailyperformance\startScreen
10:25:11,859 \screen\at\ktg26\extractOvertime
10:25:21,815 \screen\at\correctionofdailyperformance\startScreen
10:26:01,561 \screen\at\ktg26\extractOvertime
10:26:48,814 \screen\at\ktg26\extractOvertime
10:27:50,731 \screen\at\correctionofdailyperformance\startScreen
10:27:56,636 \screen\at\correctionofdailyperformance\startScreen
10:28:27,592 \screen\at\kdw013\a\start
10:28:35,375 \screen\at\kdw013\a\changeDate
10:28:44,214 \screen\at\kdw013\common\start
10:28:46,856 \screen\at\ktg26\extractOvertime
10:29:02,649 \screen\at\ktg26\extractOvertime
10:29:13,720 \screen\at\kdw013\common\start
10:29:43,670 \screen\at\ktg26\extractOvertime
10:29:58,728 \screen\at\kdw013\common\start
10:30:10,853 \screen\at\kdw013\a\register-work-content
10:30:13,190 \screen\at\kdw013\a\changeDate
10:30:27,038 \screen\at\ktg26\extractOvertime


---- ukapsv07
10:22:22,115 \screen\at\correctionofdailyperformance\startScreen
10:23:07,834 \at\shared\scherec\attitem\getMonthlyAttItem
10:23:51,345 \screen\at\correctionofdailyperformance\startScreen
10:27:52,007 \screen\at\overtimehours\getEmployeesOvertimeData
10:28:04,330 \screen\at\correctionofdailyperformance\startScreen
10:28:10,603 \screen\at\correctionofdailyperformance\startScreen
10:29:45,185 \screen\at\schedule\start
10:30:08,349 \screen\at\overtimehours\getEmployeesOvertimeData
10:30:10,051 \screen\at\ktg26\extractOvertime
10:30:53,333 \screen\at\ktg26\extractOvertime


----ukapsv08
10:24:35,891 \screen\at\ktg26\extractOvertime
10:24:49,111 \screen\at\ktg26\extractOvertime
10:26:20,186 \screen\at\ktg26\extractOvertime
10:26:20,434 \screen\at\ktg26\extractOvertime
10:26:22,676 \screen\at\overtimehours\getEmployeesOvertimeData
10:26:24,830 \screen\at\ktg26\extractOvertime
10:26:25,861 \screen\at\ktg26\extractOvertime
10:26:31,699 \at\request\application\applist\getapplist
10:26:53,206 \screen\at\ktg26\extractOvertime
10:27:30,755 \screen\at\ktg26\extractOvertime
10:27:33,595 \at\request\application\applist\findByPeriod
10:27:45,238 \screen\at\ktg26\extractOvertime
10:28:31,437 \at\request\application\applist\findByPeriod
10:28:51,909 \screen\at\overtimehours\getEmployeesOvertimeData
10:28:52,474 \at\request\application\applist\findByPeriod
10:29:03,089 \at\request\application\applist\findByPeriod
10:29:13,985 \at\request\application\applist\findByPeriod
10:29:28,499 \at\request\application\applist\findByPeriod
10:29:41,566 \at\request\application\applist\findByPeriod
10:30:07,131 \screen\at\ktg26\extractOvertime
10:30:21,546 \at\request\application\applist\findByPeriod
10:30:28,721 \at\request\application\applist\findByPeriod
10:30:59,068 \at\request\application\applist\approverAfterConfirm
